iteration,loss
1,0.5314150335272873
2,0.4973818075550933
3,0.49635174851155967
4,0.49599064738876486
5,0.4956122759180942
6,0.49521401388086095
7,0.49479391665407413
8,0.4943499228442407
9,0.49387984353623304
10,0.49338135195838057
11,0.4928519731054475
12,0.49228907338311323
13,0.49168985035850843
14,0.4910513227317029
15,0.4903703206803967
16,0.4896434767760235
17,0.48886721772599623
18,0.4880377572659322
19,0.48715109060941497
20,0.48620299096282993
21,0.48518900872997095
22,0.48410447416505303
23,0.48294450438093317
24,0.481704015776137
25,0.4803777430997549
26,0.4789602665119692
27,0.477446048097549
28,0.4758294793200475
29,0.4741049408276027
30,0.4722668757921934
31,0.47030987753416076
32,0.46822879150591423
33,0.4660188307472058
34,0.4636757026668717
35,0.4611957434785956
36,0.45857605490073006
37,0.45581463596720295
38,0.45291050120018944
39,0.4498637752327256
40,0.4466757535314818
41,0.44334891942016685
42,0.43988690931553276
43,0.4362944209807763
44,0.43257706349941766
45,0.42874115219975756
46,0.42479345638147414
47,0.4207409118079069
48,0.4165903129705194
49,0.41234800170157115
50,0.4080195686370689
51,0.4036095824065402
52,0.39912135857624265
53,0.39455677679009893
54,0.38991615080042585
55,0.3851981526941223
56,0.3803997900249211
57,0.37551643301522897
58,0.370541888551423
59,0.36546851822962045
60,0.36028739891867345
61,0.3549885257911337
62,0.3495610590917807
63,0.3439936166603136
64,0.3382746140843684
65,0.3323926531439708
66,0.32633695687347114
67,0.32009784620035475
68,0.3136672489242831
69,0.30703922706758874
70,0.30021050372825353
71,0.2931809659335203
72,0.28595411612774624
73,0.2785374423918983
74,0.27094267687726553
75,0.26318591380939615
76,0.2552875632219684
77,0.24727212450082636
78,0.23916777465025113
79,0.23100577923783272
80,0.22281974802119936
81,0.21464477069188864
82,0.2065164791972407
83,0.19847009008334623
84,0.19053948210627975
85,0.18275636062220718
86,0.17514955150337208
87,0.167744454830079
88,0.16056267417805675
89,0.15362182289048998
90,0.14693549600050548
91,0.1405133866637017
92,0.13436151966629717
93,0.12848257179629274
94,0.12287624914701412
95,0.11753969403238534
