0,1,2,3,4,5,6,7,8,9
965,1,1,0,0,3,6,1,1,2
0,1118,2,3,2,1,3,3,3,0
5,0,988,12,1,1,2,11,10,2
3,3,6,966,0,15,0,7,7,3
0,1,7,0,947,3,3,3,1,17
4,0,1,15,1,863,3,1,0,4
6,2,2,1,8,18,916,0,5,0
2,7,10,3,6,1,1,977,3,18
5,1,8,21,4,22,2,9,889,13
4,2,0,7,16,7,1,8,3,961
