iteration,loss
1,1.2284902868204883
2,0.38851214803645717
3,0.2902166595884719
4,0.244071273973471
5,0.2154499256413291
6,0.19491713870664815
7,0.1790680253515353
8,0.16632972683663427
9,0.1557369855705599
10,0.14664123950272204
11,0.13866568769364934
12,0.1315499840161431
13,0.12515093956473958
14,0.11938461491705912
15,0.1140672615326185
16,0.10918814179985221
17,0.10469326263919762
18,0.10050528334629727
19,0.0965694306106368
20,0.09284163751152326
21,0.08929763006163684
22,0.08592452720218428
23,0.08273699677490817
24,0.07973709616372975
25,0.07687824376133819
26,0.07418497385605079
27,0.07163324231873376
28,0.06916415572938647
29,0.06681869053868554
30,0.06459887272363898
31,0.06242932813554919
32,0.06034815034023494
33,0.05836916732607637
34,0.056432982418616245
35,0.05457230882186016
36,0.05273576245618128
37,0.05097702153787356
38,0.049265670205869506
39,0.047608633707384156
40,0.04604013833653577
41,0.044502652590968694
42,0.0429973122107705
43,0.04155210764979017
44,0.04013946244441457
45,0.038762618549517465
46,0.03742782081033104
47,0.03613209492725241
48,0.034896949534065316
49,0.03369308201178246
50,0.032510958430228824
