scenario,task_id,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
paper_literal_80_10_10,multiclass,1,1.075423901642373,1.073755765909557,0.4172246220302376,0.41720709035884135,0.19626369997841023,0.1962578808216392
paper_literal_80_10_10,multiclass,2,1.0730459877533223,1.070008852241671,0.4172246220302376,0.41720709035884135,0.19626369997841023,0.1962578808216392
paper_literal_80_10_10,multiclass,3,1.0651749085659086,1.0251316722728863,0.43596112311015117,0.5361003026372676,0.28331029748768694,0.4029720468642857
paper_literal_80_10_10,multiclass,4,1.0378547498525863,1.0153295995351097,0.47877969762419004,0.49978383052313013,0.35619855495455527,0.37713347689151994
paper_literal_80_10_10,multiclass,5,1.017804240150534,0.9937275718725248,0.5064254859611231,0.5399913532209252,0.37837840112523563,0.4081977831289973
paper_literal_80_10_10,multiclass,6,1.0079305522900164,0.9837945496113435,0.5147948164146868,0.5482057933419802,0.38560642495352465,0.4122504320877287
paper_literal_80_10_10,multiclass,7,1.0039216519946927,0.9889830791532761,0.5179265658747301,0.5464764375270211,0.38836568717445763,0.413252018648459
paper_literal_80_10_10,multiclass,8,0.9976288758910243,0.9848238604438805,0.5243520518358531,0.5482057933419802,0.3933811551727639,0.4142161506856728
paper_literal_80_10_10,multiclass,9,0.9957972890100005,0.9802498807651472,0.524622030237581,0.5490704712494596,0.3942634963748836,0.4133291026591274
paper_literal_80_10_10,multiclass,10,0.9929956496920493,0.9886920407794535,0.527267818574514,0.5456117596195417,0.3962298236250332,0.4126078727578963
paper_literal_80_10_10,multiclass,11,0.99042719700424,0.9760590833448715,0.5311555075593952,0.5495028102031994,0.3993881580497189,0.4137829237874067
paper_literal_80_10_10,multiclass,12,0.987478493408302,0.9775806414426481,0.5323434125269978,0.5464764375270211,0.4001100309464147,0.41045490875970997
paper_literal_80_10_10,multiclass,13,0.9868197076778947,0.9744749744887791,0.5325593952483801,0.546908776480761,0.4008242309948404,0.4129426032657378
paper_literal_80_10_10,multiclass,14,0.987354402047769,0.9792487121380824,0.5316414686825054,0.5451794206658019,0.40031503002497315,0.4123674526966708
paper_literal_80_10_10,multiclass,15,0.9842121567375974,0.9760607856463108,0.5321274298056156,0.5490704712494596,0.40083984268315853,0.4150059369083148
paper_literal_80_10_10,multiclass,16,0.9844806899262298,0.9779378222120412,0.5341792656587473,0.5378296584522265,0.40243921030117297,0.40211034039972565
paper_literal_80_10_10,multiclass,17,0.9836863690782057,0.9718098416763418,0.5355831533477322,0.551664504971898,0.40349250473713644,0.4155795125704353
paper_literal_80_10_10,multiclass,18,0.9804234229720179,0.9855546219958097,0.5380669546436285,0.5417207090358841,0.4058821653146105,0.40977257793185046
paper_literal_80_10_10,multiclass,19,0.9797442023491499,0.975403608901646,0.537257019438445,0.5477734543882404,0.4050763370939536,0.4141535524442658
paper_literal_80_10_10,multiclass,20,0.9802045229701708,0.9829601274132471,0.536501079913607,0.5438824038045827,0.4041222025545608,0.4114450670742061
paper_literal_80_10_10,multiclass,21,0.9792165492832274,0.9686530593974323,0.5356911447084233,0.5503674881106788,0.40398473125201245,0.4145129316013548
paper_literal_80_10_10,multiclass,22,0.9778459823929723,0.969080338991415,0.5356371490280778,0.5503674881106788,0.4039804778053071,0.4145663366058385
paper_literal_80_10_10,multiclass,23,0.9768483097300931,0.9673735822272723,0.5352591792656588,0.5490704712494596,0.403583647231548,0.41429923020685505
paper_literal_80_10_10,multiclass,24,0.9752424389445756,0.9651161471693432,0.5359071274298056,0.5507998270644185,0.4044967939646195,0.4165387536947171
paper_literal_80_10_10,multiclass,25,0.9734965569514693,0.9650365563115154,0.5385529157667387,0.5542585386943364,0.40755141861112243,0.4225411503857382
paper_literal_80_10_10,multiclass,26,0.9743665523714432,0.9646746478862078,0.540280777537797,0.5603112840466926,0.4161276453481993,0.44618503213863764
paper_literal_80_10_10,multiclass,27,0.9735385764494828,0.9682408197586845,0.5386069114470843,0.5520968439256377,0.42009931567409264,0.43511372749793104
paper_literal_80_10_10,multiclass,28,0.9711764645627972,0.9668185206857327,0.5427645788336933,0.562905317769131,0.4343652040985824,0.4572914677600033
paper_literal_80_10_10,multiclass,29,0.9692937092698676,0.9581491033390802,0.5437365010799136,0.5642023346303502,0.43984831745908554,0.45940127271509085
paper_literal_80_10_10,multiclass,30,0.9693662730972916,0.9577553853605199,0.5475701943844492,0.5642023346303502,0.4468306146043843,0.4693683368050534
paper_literal_80_10_10,multiclass,31,0.9655857340305979,0.9562059614084213,0.5487580993520519,0.5611759619541721,0.4530340158999022,0.4643411195273514
paper_literal_80_10_10,multiclass,32,0.9648557998964132,0.9528313920552526,0.5501619870410367,0.562905317769131,0.46064768785811866,0.47309224003744593
paper_literal_80_10_10,multiclass,33,0.9613369451485752,0.9517540088011185,0.5516198704103672,0.5659316904453091,0.46131622130697547,0.47058769428613445
paper_literal_80_10_10,multiclass,34,0.9624374813189002,0.9568597665350519,0.5482181425485961,0.5663640293990488,0.4585624091931922,0.4800200095760065
paper_literal_80_10_10,multiclass,35,0.9611046416970618,0.9456493929253993,0.551511879049676,0.5689580631214872,0.4628960567252192,0.4941413894534463
paper_literal_80_10_10,multiclass,36,0.9598329610495021,0.9467885633902379,0.5525917926565874,0.5689580631214872,0.4633350234106497,0.4855564829412553
paper_literal_80_10_10,multiclass,37,0.9590198612625089,0.9490502826898478,0.5516738660907128,0.5706874189364461,0.4654800193227176,0.4805534736321208
paper_literal_80_10_10,multiclass,38,0.9566061834794656,0.9453894201677391,0.5539956803455723,0.5680933852140078,0.4670607521819245,0.4897134340110802
paper_literal_80_10_10,multiclass,39,0.9565244542342283,0.9472725717113278,0.5539416846652268,0.5663640293990488,0.4656049693716359,0.4848526360512275
paper_literal_80_10_10,multiclass,40,0.9551667427398731,0.9436653431390613,0.5565334773218142,0.5706874189364461,0.4719367442651767,0.4849693231401721
paper_literal_80_10_10,multiclass,41,0.9541212817247692,0.9423075946852391,0.5542656587473002,0.5728491137051448,0.46944380200288255,0.5002530090557923
paper_literal_80_10_10,multiclass,42,0.9541859301326084,0.9465831264602226,0.5551295896328293,0.5659316904453091,0.4695773414618885,0.4780709302851563
paper_literal_80_10_10,multiclass,43,0.9524180618527126,0.9416582187016805,0.556695464362851,0.5646346735840899,0.47380903674904634,0.4878268963192028
paper_literal_80_10_10,multiclass,44,0.9523347780462476,0.9407584427034912,0.5592872570194385,0.5737137916126243,0.4783129559835169,0.49102738796724466
paper_literal_80_10_10,multiclass,45,0.9498806549714914,0.9409175967943395,0.5606371490280777,0.5750108084738434,0.47862083704234964,0.5001320793745014
paper_literal_80_10_10,multiclass,46,0.9493829817545337,0.93926081005959,0.5592872570194385,0.5745784695201037,0.47807708875154376,0.49796069527924774
paper_literal_80_10_10,multiclass,47,0.9492143209500653,0.944150395018169,0.5586393088552916,0.569390402075227,0.4781407448934189,0.4799999652465902
paper_literal_80_10_10,multiclass,48,0.9486082943675328,0.9434709537611655,0.5569114470842332,0.5732814526588845,0.47512155214292573,0.49210009536891614
paper_literal_80_10_10,multiclass,49,0.9490116702042697,0.9429867457271498,0.5573434125269978,0.5724167747514051,0.4772422532639082,0.48361858067750724
paper_literal_80_10_10,multiclass,50,0.9494030023496558,0.9393234336937963,0.5579373650107992,0.5763078253350626,0.47600844461475766,0.4980535314845283
paper_literal_80_10_10,multiclass,51,0.9480102639476372,0.9383987487264387,0.5615550755939525,0.5771725032425421,0.4809790412300556,0.5023233352922837
paper_literal_80_10_10,multiclass,52,0.9458200869755921,0.9377248594372292,0.5631209503239741,0.5732814526588845,0.4813916840974389,0.4936020024806725
paper_literal_80_10_10,multiclass,53,0.9458483691091929,0.9382024759654611,0.5613390928725702,0.5728491137051448,0.4809283324601255,0.49146856396462096
paper_literal_80_10_10,multiclass,54,0.9482176677197154,0.9410875982605323,0.5617170626349892,0.5702550799827064,0.4821552796393344,0.5002543887544844
paper_literal_80_10_10,multiclass,55,0.9468011565136343,0.9393952347425172,0.5599352051835853,0.5758754863813229,0.48076231565610783,0.507158695646928
paper_literal_80_10_10,multiclass,56,0.9432950293528596,0.9372777738356766,0.5632829373650108,0.5728491137051448,0.4842093655179757,0.48887151033878196
paper_literal_80_10_10,multiclass,57,0.9446442349168188,0.9453142925716818,0.5631209503239741,0.5732814526588845,0.48473122819219966,0.5003160526434115
paper_literal_80_10_10,multiclass,58,0.941937695826619,0.9362029368569209,0.5625809935205184,0.5763078253350626,0.48645059226477655,0.5076025300942129
paper_literal_80_10_10,multiclass,59,0.9437910983165964,0.93654615514164,0.5627969762419006,0.5758754863813229,0.48490480152629883,0.5015292754696066
paper_literal_80_10_10,multiclass,60,0.9453803170576981,0.941531810779052,0.56085313174946,0.567661046260268,0.48061459683631447,0.48471333971368974
paper_literal_80_10_10,multiclass,61,0.9421586677013669,0.9429649646489382,0.5647408207343413,0.569390402075227,0.48614228149417654,0.5000820587706277
paper_literal_80_10_10,multiclass,62,0.9425333971596176,0.9361943220401604,0.5636609071274298,0.574146130566364,0.48896763937121834,0.499016424011209
paper_literal_80_10_10,multiclass,63,0.9420390940639422,0.9321268426356664,0.5665226781857451,0.5789018590575011,0.48965595551336144,0.5050734579684871
