0,1,2,3,4,5,6,7,8,9
408,54,219,136,12,0,25,14,93,19
5,71,171,11,140,1,441,117,78,100
149,136,394,47,32,18,20,64,46,126
130,182,109,231,9,21,82,33,176,37
63,56,126,75,224,12,140,11,84,191
32,123,61,188,127,22,105,28,146,60
31,13,247,22,103,0,333,123,37,49
29,61,29,23,38,21,140,284,292,111
26,223,91,66,95,44,129,40,191,69
29,32,83,48,96,18,143,62,236,262
