Taraget,Tree Name,Insert Time (µs),Search Time (µs),Success Count,Failed Count,Accuracy, Input Count, Test Count
acc_full_32768_131072,2-3 Tree,86280,492,512,0,1, 32768, 512
acc_full_131072_512,BinarySearchTree,118148,241,512,0,1, 131072, 512
acc_full_131072_512,SplayTree,192526,747,512,0,1, 131072, 512
acc_full_131072_512,Treap,146944,563,512,0,1, 131072, 512
acc_full_131072_512,2-3 Tree,404466,587,512,0,1, 131072, 512
acc_full_131072_2048,BinarySearchTree,120942,169,512,0,1, 131072, 512
acc_full_131072_2048,SplayTree,187122,736,512,0,1, 131072, 512
acc_full_131072_2048,Treap,139344,551,512,0,1, 131072, 512
acc_full_131072_2048,2-3 Tree,415993,613,512,0,1, 131072, 512
acc_full_131072_8192,BinarySearchTree,117281,206,512,0,1, 131072, 512
acc_full_131072_8192,SplayTree,175865,748,512,0,1, 131072, 512
acc_full_131072_8192,Treap,133616,555,512,0,1, 131072, 512
acc_full_131072_8192,2-3 Tree,395041,569,512,0,1, 131072, 512
acc_full_131072_32768,BinarySearchTree,111461,174,512,0,1, 131072, 512
acc_full_131072_32768,SplayTree,178125,723,512,0,1, 131072, 512
acc_full_131072_32768,Treap,128789,538,512,0,1, 131072, 512
acc_full_131072_32768,2-3 Tree,402691,581,512,0,1, 131072, 512
acc_full_131072_131072,BinarySearchTree,105109,171,512,0,1, 131072, 512
acc_full_131072_131072,SplayTree,167715,692,512,0,1, 131072, 512
acc_full_131072_131072,Treap,125888,562,512,0,1, 131072, 512
acc_full_131072_131072,2-3 Tree,387164,568,512,0,1, 131072, 512
